query_id,formal_ndcg@10,formal_recall@100,formal_mrr@10,informal_ndcg@10,informal_recall@100,informal_mrr@10,normalized_ndcg@10,normalized_recall@100,normalized_mrr@10,strong_norm_ndcg@10,strong_norm_recall@100,strong_norm_mrr@10,heavy_ndcg@10,heavy_recall@100,heavy_mrr@10,heavy_normalized_ndcg@10,heavy_normalized_recall@100,heavy_normalized_mrr@10,formal_vs_informal,formal_vs_normalized,formal_vs_strong_norm,formal_vs_heavy,formal_vs_heavy_normalized
1858,0.9469,1.0,1.0,0.9675,1.0,1.0,0.9675,1.0,1.0,0.9469,1.0,1.0,0.0,0.0,0.0,0.9469,1.0,1.0,0.963,0.9659,1.0,0.8161,0.9606
19,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9953,0.9953,0.9956,0.8832,0.9385
1905,0.2044,1.0,0.1429,0.0,1.0,0.0,0.1772,1.0,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.9704,0.9739,0.9793,0.8446,0.9218
1911,0.142,0.8,0.1667,0.1488,0.8,0.2,0.1546,0.8,0.2,0.0784,0.8,0.1667,0.0,0.0,0.0,0.1584,0.7,0.25,0.9806,0.9814,0.9987,0.8748,0.9017
1913,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9435,0.9457,1.0,0.7814,0.8046
1928,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.9809,0.9851,0.967,0.8065,0.9088
1956,0.4693,0.6667,1.0,0.4693,0.6667,1.0,0.4693,0.6667,1.0,0.4693,0.6667,1.0,0.0,0.3333,0.0,0.2961,0.6667,0.5,0.9843,0.9851,0.9979,0.89,0.9445
2001,0.482,1.0,0.25,0.6608,1.0,0.5,0.6608,1.0,0.5,0.6608,1.0,0.5,0.0,0.0,0.0,0.4365,1.0,0.3333,0.887,0.8912,0.9019,0.8251,0.8676
203,0.3904,0.75,1.0,0.5135,0.75,1.0,0.5079,0.75,1.0,0.3904,0.75,1.0,0.1952,0.25,0.3333,0.3904,0.75,1.0,0.9724,0.9797,0.9993,0.881,0.9522
2035,0.6678,1.0,1.0,0.769,1.0,1.0,0.7609,1.0,1.0,0.6678,1.0,1.0,0.2394,0.625,0.5,0.6919,1.0,1.0,0.9893,0.9931,0.9998,0.875,0.9093
21,0.1934,1.0,0.125,0.0,0.5,0.0,0.0,0.5,0.0,0.1934,1.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.9584,0.9585,0.9983,0.8136,0.8639
2148,1.0,1.0,1.0,0.6309,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9847,0.9872,0.997,0.8421,0.8928
2154,0.2346,1.0,0.3333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9227,0.9247,0.96,0.8216,0.8742
2161,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.3333,1.0,1.0,1.0,0.9571,0.9593,0.9904,0.8328,0.9376
2188,0.8772,1.0,1.0,0.8772,1.0,1.0,0.8772,1.0,1.0,0.8772,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9953,0.9877,0.9972,0.8371,0.8572
220,0.5,1.0,0.3333,0.5,1.0,0.3333,0.5,1.0,0.3333,0.5,1.0,0.3333,0.0,0.0,0.0,0.0,1.0,0.0,0.9937,0.9945,0.9944,0.8483,0.8711
2233,0.2918,0.8571,0.5,0.2798,0.8571,0.5,0.3109,0.8571,0.5,0.1734,0.8571,0.5,0.0795,0.1429,0.1,0.3812,0.5714,1.0,0.9959,0.9973,0.993,0.8792,0.9405
2262,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9887,0.989,0.9933,0.837,0.9386
2843,1.0,1.0,1.0,0.6309,1.0,0.5,0.6309,1.0,0.5,0.6309,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.9918,0.9915,0.9969,0.8688,0.879
2898,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.962,0.9624,0.9649,0.8064,0.8896
2919,0.8503,1.0,1.0,0.8316,1.0,1.0,0.8316,1.0,1.0,0.8175,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9746,0.975,0.9928,0.8763,0.9159
